ID,State,Week,Original FICO Score,Latest FICO Score,"Dlq 
Days",Purchase Price,Down Payment,"Original
Principal
Balance","Current
Principal 
Balance",Total Amount Due,"Total
NSF
Due",Total Late Charges Due,Payoff Amount,"Current 
Payment 
Amount","Current 
Rate","Current 
Term",Term Paid,"Total Maintenance
Fee
Balance Due","Payment
Type","Payment
Due Day",Times Late,Times DLQ,Times Defaulted
1,NY,21,669,690,-15,"14,900.00","3,124.00","11,726.11","3,480.19",-,-,-,"3,500.14",174.39,12.9,120,70,-,COUPON,15,13,0,0
2,MD,46,592,512,554,"9,500.00",950,"8,550.00","1,705.58","2,009.72",-,131.64,"1,991.64",169.33,15.9,84,64,-241,COUPON,25,8,8,8
3,NC,30,781,787,-25,"24,550.00","18,500.00","6,050.00","3,295.55",-,-,-,"3,300.99",128.25,9.9,60,31,-,AUTO DEBIT,25,0,0,0
4,CA,46,680,667,-15,"17,900.00","1,790.00","16,110.00","13,985.06",-,-,-,"14,077.67",258.92,14.9,120,30,-,AUTO DEBIT,15,0,0,0
5,TX,42,757,747,-5,"16,100.00","4,830.00","11,270.00","10,185.78",-,-,-,"10,273.32",161.04,11.9,120,20,-,AUTO DEBIT,5,0,0,0
6,SC,7,703,685,-15,"9,810.00",981,"8,829.00","5,856.24",-,-,-,"5,895.02",157.93,14.9,96,46,-,AUTO DEBIT,15,1,0,0
7,WV,43,600,651,-20,"21,400.00","2,249.00","19,151.31","17,207.62",-,-,-,"17,285.96",307.81,14.9,120,24,-,AUTO DEBIT,20,0,0,0
8,SC,16,517,528,128,"10,800.00","1,080.00","9,720.00","7,801.00","1,074.94",120,135.59,"8,499.62",173.87,14.9,96,30,579.79,COUPON,25,14,12,1
9,VA,44,611,668,720,"20,400.00","4,081.00","16,318.67","14,445.61","7,829.68",-,511.84,"18,580.21",304.91,13.9,84,14,"2,554.84",COUPON,10,14,13,10
10,NC,4,593,609,-25,"5,200.00",520,"4,680.00","3,370.13",60,60,-,"3,437.38",106.24,12.9,60,19,779.65,COUPON,25,7,5,0
11,NC,15,681,602,-20,"14,900.00","1,597.00","13,303.16","11,334.46",11.96,-,11.96,"11,398.03",213.81,14.9,120,33,991.21,AUTO DEBIT,20,0,0,0
12,NJ,17,728,608,-10,"9,800.00",980,"8,820.00","6,793.94",-,-,-,"6,852.99",157.77,14.9,96,34,-,AUTO DEBIT,10,0,0,0
13,NC,6,537,647,-5,"6,750.00",675,"6,075.00","5,000.98",-,-,-,"5,051.19",113.51,13.9,84,22,-,AUTO DEBIT,5,0,0,0
14,WV,52,589,653,-1,"16,600.00","2,979.00","13,620.99","11,273.09",-,-,-,"11,583.36",227.32,15.9,120,37,-0.06,COUPON,1,8,0,0
15,TN,24,610,682,-10,"23,200.00","2,433.00","20,766.90","15,549.10",-,-,-,"15,684.25",333.77,14.9,120,50,-,AUTO DEBIT,10,0,0,0
16,KY,44,1,678,-15,"20,400.00","4,941.00","15,458.60","13,040.14",-,-,-,"13,114.90",229.9,12.9,120,32,-,AUTO DEBIT,15,1,0,0
17,PA,35,1,694,-15,"12,600.00","1,890.00","10,710.00","9,511.88",-,-,-,"9,570.64",165.65,13.9,120,25,-,AUTO DEBIT,1,0,0,0
18,NC,20,780,736,-10,"19,400.00","3,324.00","16,076.20","13,117.19",-,-,-,"13,223.55",248.64,13.9,120,38,-,AUTO DEBIT,10,0,0,0
19,MD,32,780,787,-15,"24,200.00","11,100.00","13,100.00","10,471.87",-,-,-,"10,527.26",187.19,11.9,120,38,-,AUTO DEBIT,15,0,0,0
20,PA,38,650,537,-15,"17,900.00","2,007.00","15,892.63","13,093.19",30,30,-,"13,209.89",255.43,14.9,120,37,-,AUTO DEBIT,15,1,0,0
21,TN,47,640,486,20,"9,700.00","1,000.00","8,700.00","6,406.52",414.12,-,258.5,"6,799.59",155.62,14.9,96,38,"1,106.43",AUTO DEBIT,10,14,12,0
22,GA,52,661,676,112,"14,900.00","1,490.00","13,410.00","11,277.07","1,003.84",90,51.72,"12,068.56",215.53,14.9,120,35,803.88,COUPON,10,4,3,0
23,MD,6,604,643,-25,"7,500.00",750,"6,750.00","4,970.56",-,-,-,"4,982.91",120.74,14.9,96,38,-,AUTO DEBIT,25,0,0,0
24,TN,13,672,779,-15,"14,900.00","1,490.00","13,410.00","12,049.04",12.93,-,12.93,"12,128.83",215.53,14.9,120,24,721.63,COUPON,15,11,0,0
25,WV,33,596,616,360,"16,400.00","1,640.00","14,760.00","12,742.10","3,924.55",-,471.25,"15,509.03",290.22,17.9,96,24,"1,684.76",COUPON,5,14,13,8
26,NC,1,463,610,25,"9,800.00","2,997.00","6,802.69","5,419.89",123.09,-,6.97,"5,518.23",116.12,10.9,84,23,777.74,COUPON,5,3,0,0
27,NC,20,602,644,-25,"19,400.00","2,041.00","17,358.71","15,069.04",-,-,-,"15,106.46",278.99,14.9,120,29,-200,AUTO DEBIT,25,0,0,0
28,NC,22,570,594,-1,"12,000.00","1,200.00","10,800.00","9,375.32",-,-,-,"9,617.80",173.58,14.9,120,30,-,AUTO DEBIT,1,0,0,0
29,NC,18,681,676,-25,"16,050.00","9,450.00","6,600.00","4,090.91",-,-,-,"4,099.03",94.31,11.9,120,63,721.63,AUTO DEBIT,25,0,0,0
30,NC,35,645,529,25,"14,900.00","1,490.00","13,410.00","11,540.77",295.98,-,80.45,"11,887.93",215.53,14.9,120,28,536.77,COUPON,5,14,11,3
31,WV,37,643,659,-20,"16,100.00","1,793.00","14,307.09","11,786.74",-,-,-,"11,840.40",229.95,14.9,120,38,-,AUTO DEBIT,20,0,0,0
32,PA,4,601,619,-15,"6,200.00",620,"5,580.00","3,807.04",-,-,-,"3,832.25",99.81,14.9,96,43,595.54,COUPON,15,6,2,0
33,OH,14,696,499,67,"16,950.00","1,695.00","15,255.00","13,780.99",764.96,30,44.13,"14,354.63",245.18,14.9,120,23,"1,430.71",COUPON,25,4,3,0
34,OH,9,757,808,-5,"10,150.00","1,015.00","9,135.00","7,179.72",-,-,-,"7,251.80",170.69,13.9,84,26,-,AUTO DEBIT,5,0,0,0
35,KY,9,666,,-20,"7,500.00",750,"6,750.00","4,730.02",-,-,-,"4,751.55",120.74,14.9,96,42,-,AUTO DEBIT,20,0,0,0
36,GA,2,722,768,-5,"5,200.00",520,"4,680.00","3,968.34",-,-,-,"4,011.04",83.71,14.9,96,24,-,AUTO DEBIT,5,0,0,0
37,VA,3,737,698,-15,"7,500.00","1,500.00","6,000.00","4,166.66",-,-,-,"4,186.85",130.16,10.9,60,22,-,AUTO DEBIT,15,0,0,0
38,GA,4,764,787,-25,"6,200.00",620,"5,580.00","3,592.90",-,-,-,"3,601.82",99.81,14.9,96,48,363.32,AUTO DEBIT,25,0,0,0
39,VA,44,524,657,1213,"12,600.00","1,260.00","11,340.00","10,683.65","9,174.52",-,255.72,"16,506.06",222.97,17.9,96,10,"1,586.39",COUPON,5,14,13,10
40,NC,20,785,807,-5,"16,050.00","4,815.00","11,235.00","7,154.47",-,-,-,"7,226.29",173.77,13.9,120,60,-,AUTO DEBIT,5,5,0,0
41,CT,32,1,742,-13,"24,200.00","3,795.00","20,404.66","17,692.12",-,-,-,"17,815.08",315.59,13.9,120,29,-,AUTO DEBIT,13,0,0,0
42,SC,33,774,756,-1,"13,200.00","4,575.00","8,625.00","4,649.94",-,-,-,"4,761.59",128.77,12.9,120,72,-,COUPON,1,14,0,0
43,SC,5,645,541,117,"6,200.00",620,"5,580.00","3,599.58",453.2,30,23.96,"3,864.50",99.81,14.9,96,41,623.14,COUPON,5,14,11,1
44,VA,36,1,599,-20,"14,900.00","5,492.00","9,407.71","6,026.83",10.81,-,10.81,"6,055.87",199.42,9.9,60,25,-,COUPON,20,13,0,0
45,WV,30,728,722,-25,"24,200.00","2,687.00","21,512.62","19,116.48",-,-,-,"19,163.95",345.76,14.9,120,26,332.38,AUTO DEBIT,25,0,0,0
46,OH,24,771,731,-25,"11,600.00","1,160.00","10,440.00","5,456.13",-,-,-,"5,468.77",195.07,13.9,84,50,3.87,AUTO DEBIT,25,0,0,0
47,FL,19,798,797,-20,"17,900.00","9,835.00","8,065.07","6,598.09",-,-,-,"6,622.08",115.24,11.9,120,35,-,AUTO DEBIT,20,0,0,0
48,SC,25,696,728,-10,"34,500.00","19,400.00","15,100.00","11,977.78",-,-,-,"12,060.93",215.77,11.9,120,37,-141.17,AUTO DEBIT,10,0,0,0
49,PA,40,817,829,-25,"16,750.00","5,025.00","11,725.00","6,581.09",-,-,-,"6,591.94",248.55,9.9,60,30,-,AUTO DEBIT,25,0,0,0
50,NJ,10,642,550,-1,"14,900.00","2,152.00","12,748.10","11,454.37",-,-,-,"11,749.41",204.89,14.9,120,24,732.38,AUTO DEBIT,1,0,0,0
51,CA,48,753,488,-25,"6,900.00",690,"6,210.00","5,287.47",-,-,-,"5,300.60",111.08,14.9,96,24,232.77,AUTO DEBIT,25,0,0,0
52,WV,20,500,615,-1,"15,300.00","1,530.00","13,769.99","11,423.59",-,-,-,"11,720.70",221.32,14.9,120,37,732.38,AUTO DEBIT,1,0,0,0
53,MA,40,717,774,-10,"16,900.00","2,205.00","14,695.18","11,293.92",-,-,-,"11,392.08",236.19,14.9,120,47,-,AUTO DEBIT,10,0,0,0
54,OH,36,1,526,-28,"16,750.00","2,132.00","14,618.36","13,263.63",-,-,-,"13,280.10",234.95,14.9,120,22,"1,304.02",AUTO DEBIT,28,0,0,0
55,SC,41,1,792,-15,"20,400.00","3,524.00","16,876.17","14,354.78",-,-,-,"14,443.46",261.02,13.9,120,32,-395,AUTO DEBIT,15,1,0,0
56,NC,1,602,551,-25,"6,200.00",620,"5,580.00","3,640.27",-,-,-,"3,648.71",104.26,13.9,84,39,-,AUTO DEBIT,25,0,0,0
57,NC,22,586,666,-25,"19,400.00","1,940.00","17,460.00","14,584.82",-,-,-,"14,621.03",280.62,14.9,120,36,721.63,AUTO DEBIT,25,3,1,0
58,PA,52,477,565,314,"15,650.00","1,565.00","14,085.00","7,167.54","3,093.03",-,597.85,"8,677.26",226.38,14.9,120,77,"3,567.84",COUPON,20,13,10,7
59,NC,40,710,772,-5,"11,200.00","1,120.00","10,080.00","5,964.92",-,-,-,"6,024.80",155.9,13.9,120,69,732.38,AUTO DEBIT,5,0,0,0
60,SC,10,680,675,25,"7,500.00",750,"6,750.00","4,607.01",129.18,-,14.48,"4,721.54",120.74,14.9,96,38,-,COUPON,5,11,2,0
61,NC,4,662,696,-10,"6,750.00",675,"6,075.00","4,598.09",43.62,30,13.62,"4,678.99",113.51,13.9,84,28,-,AUTO DEBIT,10,2,1,0
62,OH,39,500,659,-5,"19,400.00","2,910.00","16,490.00","8,187.14",-,-,-,"8,104.23",317.23,14.9,84,49,-,COUPON,5,14,1,0
63,NC,8,771,783,-5,"7,700.00",770,"6,930.00","5,201.25",8.18,-,8.18,"5,276.68",136.26,17.9,96,37,363.32,COUPON,5,13,0,0
64,NC,32,804,776,-1,"24,550.00","3,817.00","20,733.20","16,828.56",-,-,-,"17,222.68",398.92,12.9,84,20,-,AUTO DEBIT,1,0,0,0
65,PA,23,674,766,5,"16,400.00","1,640.00","14,760.00","11,483.28",264.02,-,205.92,"12,385.09",264.02,14.9,96,35,"1,302.45",COUPON,25,15,11,5
66,NY,43,695,589,-15,"9,700.00",970,"8,730.00","6,117.35",-,-,-,"6,157.86",156.16,14.9,96,42,368.69,AUTO DEBIT,15,0,0,0
67,CT,21,758,796,-10,"19,400.00","2,754.00","16,646.27","12,638.00",-,-,-,"12,740.47",257.46,13.9,120,47,721.63,AUTO DEBIT,10,0,0,0
68,VA,44,645,693,-25,"16,900.00","2,716.00","14,183.72","11,401.37",-,-,-,"11,427.79",219.37,13.9,120,40,-,AUTO DEBIT,25,0,0,0
69,FL,35,790,812,-36,"16,900.00","8,925.00","7,975.00",-,-,-,-,-,113.96,11.9,120,59,-,COUPON,5,1,0,0
70,NC,14,655,781,-15,"12,500.00","1,250.00","11,250.00","9,397.42",-,-,-,"9,459.65",180.81,14.9,120,36,"1,294.47",AUTO DEBIT,15,0,0,0
71,NC,36,691,710,-15,"20,400.00","2,131.00","18,268.88","15,085.88",19.61,19.61,-,"15,205.40",326.79,14.9,96,27,721.63,AUTO DEBIT,15,1,0,0
72,NC,32,1,819,-25,"24,200.00","7,260.00","16,940.00","14,266.98",-,-,-,"14,295.28",242.06,11.9,120,31,0.63,AUTO DEBIT,25,0,0,0
73,VA,31,634,552,-5,"24,200.00","4,182.00","20,017.97","16,452.24",-,-,-,"16,617.40",309.61,13.9,120,37,732.38,AUTO DEBIT,5,0,0,0
74,VA,44,769,689,-15,"20,750.00","11,100.00","9,650.00","8,127.27",-,-,-,"8,170.26",137.89,11.9,120,31,-,AUTO DEBIT,15,0,0,0
75,NC,32,672,637,10,"23,500.00","2,350.00","21,150.00","15,574.65",424.74,-,158.9,"15,884.53",378.32,14.9,96,38,793.13,COUPON,20,13,6,0
76,NC,10,516,512,345,"16,950.00","1,695.00","15,255.00","14,206.67","3,252.81",90,220.65,"16,636.00",245.18,14.9,120,17,"1,636.70",COUPON,20,14,13,8
77,VA,20,778,792,-20,"17,100.00","10,700.00","6,400.00","5,115.99",-,-,-,"5,134.59",91.45,11.9,120,37,-,COUPON,20,3,0,0
78,NJ,19,702,738,-15,"11,100.00","1,110.00","9,990.00","7,356.27",-,-,-,"7,404.98",178.7,14.9,96,38,-,AUTO DEBIT,15,0,0,0
79,GA,42,750,761,-15,"16,900.00","1,690.00","15,210.00","11,590.66",-,-,-,"11,667.42",244.46,14.9,120,48,721.63,AUTO DEBIT,15,0,0,0
80,SC,16,541,639,597,"14,900.00","1,490.00","13,410.00","11,916.28","5,114.95",-,299.55,"15,684.44",240.77,17.9,120,26,"1,972.87",COUPON,10,14,13,10
81,SC,30,608,678,-25,"12,900.00","1,290.00","11,610.00","8,549.56",-,-,-,"8,570.79",207.67,14.9,96,38,363.32,AUTO DEBIT,25,0,0,0
82,NC,33,689,777,-5,"19,400.00","2,571.00","16,828.73","12,135.38",30,30,-,"12,295.97",270.48,14.9,120,53,-,AUTO DEBIT,5,1,0,0
83,WV,30,773,830,-15,"15,700.00","2,364.00","13,335.51","11,843.99",-,-,-,"11,917.16",206.25,13.9,120,25,-,AUTO DEBIT,15,0,0,0
84,OH,5,714,598,674,"6,200.00",620,"5,580.00","4,249.77","2,435.54",-,37.56,"5,958.29",104.26,16.9,84,28,"1,286.75",COUPON,25,15,14,11
85,TN,45,734,753,-15,"19,400.00","1,940.00","17,460.00","13,753.08",-,-,-,"13,844.16",280.62,14.9,120,44,-,AUTO DEBIT,15,0,0,0
86,VA,47,738,733,-25,"17,900.00","4,198.00","13,701.61","11,151.75",-,-,-,"11,175.72",203.77,12.9,120,37,-0.71,AUTO DEBIT,25,0,0,0
87,TN,39,515,553,25,"10,300.00","1,033.00","9,266.85","6,660.88",265.26,-,99.5,"6,913.87",165.76,14.9,96,40,328.87,COUPON,5,12,6,0
88,NC,46,724,724,67,"19,400.00","1,977.00","17,423.02","15,482.38",903.69,30,33.6,"16,157.21",280.03,14.9,120,26,732.38,COUPON,25,3,2,0
89,GA,19,730,543,-25,"20,750.00","4,150.00","16,600.00","14,469.39",-,-,-,"14,500.50",246.88,12.9,120,27,732.38,AUTO DEBIT,25,0,0,0
